title,video_category,tags,views,likes,dislikes
Cowboys vs. Falcons | NFL Week 10 Game Highlights,Sports,"NFL|""Football""|""offense""|""defense""|""afc""|""nfc""|""American Football""|""highlight""|""highlights""|""game""|""games""|""sport""|""sports""|""action""|""play""|""plays""|""season""|""2017""|""rookie""|""rookies""|""recap""|""run""|""sprint""|""catch""|""huge""|""amazing""|""touchdown""|""td""|""week 9""|""wk 9""|""dallas""|""cowboys""|""atlanta""|""falcons""|""ryan""|""prescott""|""dak""|""td pass""|""julio jones""|""sack""|""tackle""|""clayborn""|""falcons win""|""sp:dt=2017-11-12T16:25:00-05:00""|""sp:vl=en-US""|""sp:st=football""|""sp:li=nfl""|""sp:ti:home=Atl""|""sp:ti:away=Dal""|""sp:ty=high""",935879,5715,514
Dennis Smith Jr. and LeBron James go back and forth,Sports,[none],21544,83,74
Heidelberg's nifty hook-and-lateral to the left tackle,Sports,"D3sports|""NCAA Division III""|""D3sports.com""|""D3football.com""|""Division III football""|""#d3fb""|""college football""|""Division III (Sports Association)""",37524,126,77
"Joel Embiid on win over Clippers, scuffle with Willie Reed and using social media | NBA on ESPN",Sports,"nba|""basketball""|""espn""|""nba video""|""nba interview""|""joel""|""embiid""|""win""|""clippers""|""joel embiid""|""los angeles clippers""|""scuffle""|""willie""|""reed""|""willie reed""|""social""|""media""|""social media""|""philadelphia 76ers""|""76ers""",5813,33,3
HOL HD: Mike Riley Monday Press Conference,Sports,"HuskerOnline.com|""Nebraska Football""|""Huskers""|""Riovals.com""",6684,18,57
"Canada Soccer's Women's National Team v USA International Friendly LIVE from Avaya Stadium, San Jose",Sports,[none],41029,296,32
Stephon Marbury and Jimmer Fredette fight in China,Sports,"NBA|""Basketball""|""Sports""",1015189,2133,2483
"Wildest Superstar distractions: WWE Top 10, Nov. 11, 2017",Sports,"wwe|""world wrestling entertainment""|""wrestling""|""wrestler""|""wrestle""|""superstars""|""कुश्ती""|""पहलवान""|""डब्लू डब्लू ई""|""मैच""|""सुपरस्टार""|""व्यावसायिक कुश्ती""|""مصارعه""|""WWE Top 10""|""Stone Cold Steve Austin""|""Undertaker""|""Kurt Angle""|""Kofi Kingston""|""Xavier Woods""|""Big E""|""Christian""|""Dean Ambrose""|""John Cena""|""Boogeyman""|""top 10""|""wwe distraction""|""wwe best distractions""|""wwe clips""|""wwe youtube""|""best of wwe""|""best wrestling distractions""",1155622,16060,883
JaVale McGee's Parking Lot Chronicles: Episode 3,Sports,"javale mcgee|""golden state warriors""|""kevin durant""|""oakland""|""bay area""|""san francisco""|""oracle arena""|""e40""|""e-40""|""hip hop""|""rap""|""beats""|""beats by dre""|""life goes on""|""arthur""|""renowitzky""|""klay thompson""|""minnesota timberwolves""|""nick young""|""swaggy p""",180284,6073,125
"Roy Halladay Plane Crash Video, Witnesses Say He Was Showboating | TMZ Sports",Sports,"TMZ|""TMZ Sports""|""TMZ Sports Channel""|""TMZ 2017""|""TMZ Sports 2017""|""Celebrity""|""Sports""|""Athletes""|""TMZ News""|""Famous""|""Hall of Fame""|""Sports News""|""TMZ 2016""|""TMZ2016FS11221""|""Roy Halladay""|""Roy halladay Plane Crash""|""Roy Halladay Plane Crash Video""|""Roy Halladay Video Footage""|""Roy Halladay Plane footage""|""Raw Video""|""Trending""|""MLB""|""Roy Halladay MLB""|""TMZ Roy Halladay""",3505996,5934,3400
