title,video_category,tags,views,likes,dislikes
Kellyanne Conway on Roy Moore This Week Abc: Trump’s Not Being Briefed On This Bit By Bit 11/12/17,News/Politics,"KELLYANNE CONWAY ROY MOORE|""KELLYANNE CONWAY ROY MOORE THIS WEEK ABC""|""KELLYANNE CONWAY ROY MOORE THIS WEEK""|""KELLYANNE CONWAY THIS WEEK ABC 11/12/17""|""KELLYANNE CONWAY THIS WEEK ABC""|""KELLYANNE CONWAY""|""ROY MOORE""|""THIS WEEK ABC""|""POLITICS""",32483,23,10
U.S. Navy Three Carrier Formation in Western Pacific Ocean,News/Politics,"navy|""united states navy""|""us navy""|""military""|""sailors""|""united states""|""america""|""usa""|""usn""|""service members""",238413,732,92
WATCH: Sen. Mitch McConnell on tax reform,News/Politics,[none],6685,11,35
Lin-Manuel Miranda's next act: Helping rebuild Puerto Rico,News/Politics,"CBS Sunday Morning|""CBS News""|""news""|""On The Road""|""lin manuel miranda""|""puerto rico""|""hamilton""|""hurricane maria""",9892,250,7
Some NFL players call for an end to Thursday night football after 8 players were injured last week,News/Politics,"seattle|""seahawks""|""richard""|""sherman""|""nfl""|""thursday""|""night""|""football""|""injuries""|""games""|""gma""",9833,73,21
Tesla's biggest problem is one nobody saw coming,News/Politics,"Business Insider|""Tesla""|""Elon Musk""|""Business""|""Sara Silverstein""|""Model 3""|""Battery""|""Gigafactory""",144694,1012,588
World's First Engagement Ring Phone Case,News/Politics,"box|""bulky""|""case""|""caters""|""clips""|""conceal""|""couple""|""engagement""|""family""|""film""|""friends""|""happy""|""mobile""|""news""|""partner""|""phone""|""position""|""proposal""|""propose""|""reaction""|""record""|""ring""|""slimline""|""subtle""|""traditional""|""usa""|""user""|""video""|""viral""|""world's""|""york""",90454,211,65
The all-American fruit you've probably never heard of,News/Politics,"vox.com|""vox""|""explain""|""pawpaw""|""paw paw""|""fruit""|""papaya""|""andrew moore""|""maeve turner""|""food""|""sustainable fruit""|""organic""|""plants""|""animation""|""illustration""|""taste test""|""eating""|""eat""|""american history""|""american""|""america""|""usa""|""all-american""|""apples""|""oranges""|""controlled atmosphere storage""|""farming""|""farms""|""industrial agriculture""|""paw-paw""|""weird fruit""|""funny""|""food tasting""|""unusual fruit""|""exotic fruit""|""world's strangest fruits""|""facts""|""bizarre""|""odd""|""brooklyn botanic garden""|""top weirdest fruits in the world""",533940,12633,597
Watch live: Sessions testifies to the House Judiciary Committee,News/Politics,"breaking news video|""video updates""|""live video""|""live updates""|""breaking news""|""press conference""|""live speeches""|""real time coverage""|""Jeff Sessions""|""Attorney General Jeff Sessions""|""House Judiciary Committee""|""jeff sessions testimony""|""jeff sessions live""|""jeff sessions live testimony""",153220,660,320
"7.3 Magnitude Earthquake Along Iraq-Iran Border Leaves At Least 400 Dead, 7,200 Injured | TIME",News/Politics,"7.3 magnitude earthquake|""earthquake iraq iran""|""iraq iran earthquake""|""earthquake""|""iraq""|""iran""|""breaking news""|""iraq-iran earthquake""|""pakistan""|""iran earthquake""|""iran news""|""iraq news""|""iran-iraq earthquake""|""iraq earthquake""|""magnitude""|""7.3 magnitude""|""iraq-iran""|""iran iraq earthquake""|""iran iraq border earthquake""|""400 dead iran iraq earthquake""|""Time""|""time magazine""|""magazine""|""time (magazine)""|""time.com""|""news today""|""world news""|""interview""|""science""|""technology""|""health""|""politics""|""entertainment""|""business""",32347,145,44
Which Countries Are About To Collapse?,News/Politics,"nowthis|""nowthis world""|""world news""|""nowthis news""|""international news""|""countries""|""collapse""|""failing countries""|""war in the world""|""fragile states""|""the fragile states index""|""fund for peace""|""social""|""economic""|""political""|""which countries are failing""|""Central African Republic""|""CAR""|""countries that are sinking""|""countries that are dying""|""countries that are going to disappear""|""Somalia""|""colonization""|""dictatorship""|""south sudan""",727427,9459,1446
LeBron James admits he was ripping Phil Jackson and thinks DeShaun Watson should be the Browns qu...,News/Politics,auth-jvardon-auth,85742,278,128
Iran-Iraq border earthquake is deadliest of 2017 - BBC News,News/Politics,"bbc|""bbc news""|""news""|""iran""|""irak""|""iraq""|""زلزال العراق""|""زلزال ايران""|""هزة ارضية""|""هزة ارضية ايران""|""زلزله""|""زلزله ايران""|""زمين لرزه ايران""|""iran news""|""iran quake""|""earthquake""|""Iran-Iraq border earthquake""|""bbc world news""|""bbc news coverage""|""bbc news live""|""breaking news""",104295,423,45
Donald Trump makes ASEAN handshake photo op go awry,News/Politics,[none],59466,39,14
Kellyanne Conway on Roy Moore This Week Abc: Trump’s Not Being Briefed On This Bit By Bit 11/12/17,News/Politics,"KELLYANNE CONWAY ROY MOORE|""KELLYANNE CONWAY ROY MOORE THIS WEEK ABC""|""KELLYANNE CONWAY ROY MOORE THIS WEEK""|""KELLYANNE CONWAY THIS WEEK ABC 11/12/17""|""KELLYANNE CONWAY THIS WEEK ABC""|""KELLYANNE CONWAY""|""ROY MOORE""|""THIS WEEK ABC""|""POLITICS""",36859,23,10
WWSB Channel 7:   Sarasota Police stepping up pedestrian and bicyclist safety enforcement,News/Politics,"sarasota|""sarasota police""|""city of sarasota""|""srq""|""941""|""florida""|""sarasota pd""|""sarasotapd""|""social media""|""video""|""traffic""|""sarasota police traffic unit""|""traffic unit""|""driving""|""suncoast""|""florida police""|""law enforcement""|""police""|""police officer""",1338,4,0
U.S. Navy Three Carrier Formation in Western Pacific Ocean,News/Politics,"navy|""united states navy""|""us navy""|""military""|""sailors""|""united states""|""america""|""usa""|""usn""|""service members""",251684,769,95
WATCH: Sen. Mitch McConnell on tax reform,News/Politics,[none],6743,11,35
Lin-Manuel Miranda's next act: Helping rebuild Puerto Rico,News/Politics,"CBS Sunday Morning|""CBS News""|""news""|""On The Road""|""lin manuel miranda""|""puerto rico""|""hamilton""|""hurricane maria""",10309,254,7
Some NFL players call for an end to Thursday night football after 8 players were injured last week,News/Politics,"seattle|""seahawks""|""richard""|""sherman""|""nfl""|""thursday""|""night""|""football""|""injuries""|""games""|""gma""",10542,77,22
Walking while black,News/Politics,"vox.com|""vox""|""explain""|""race""|""poverty""|""tickets""|""investigation""|""propublica""|""pedestrian""|""infrastructure""|""walking""|""walking while black""|""profiling""|""racial profiling""|""policing""|""police""|""jacksonville""|""florida""|""duval county""|""citation""|""law enforcement""|""urban planning""|""topher sanders""|""ben conarck""|""jaywalking""|""devonte shipman""|""JSO""|""florida times-union""|""African American""|""city planning""|""pedestrian deaths""|""pedestrian safety""|""Jacksonville Sheriff's Office""|""data""|""violations""",505886,23207,5375
Jaylen Brown delivers emotional press conference after losing his best friend | Boston Celtics,News/Politics,"auth-jking413-auth|""Jay-King""",5938,108,3
Watch live: Sessions testifies to the House Judiciary Committee,News/Politics,"breaking news video|""video updates""|""live video""|""live updates""|""breaking news""|""press conference""|""live speeches""|""real time coverage""|""Jeff Sessions""|""Attorney General Jeff Sessions""|""House Judiciary Committee""|""jeff sessions testimony""|""jeff sessions live""|""jeff sessions live testimony""",157973,681,337
"7.3 Magnitude Earthquake Along Iraq-Iran Border Leaves At Least 400 Dead, 7,200 Injured | TIME",News/Politics,"7.3 magnitude earthquake|""earthquake iraq iran""|""iraq iran earthquake""|""earthquake""|""iraq""|""iran""|""breaking news""|""iraq-iran earthquake""|""pakistan""|""iran earthquake""|""iran news""|""iraq news""|""iran-iraq earthquake""|""iraq earthquake""|""magnitude""|""7.3 magnitude""|""iraq-iran""|""iran iraq earthquake""|""iran iraq border earthquake""|""400 dead iran iraq earthquake""|""Time""|""time magazine""|""magazine""|""time (magazine)""|""time.com""|""news today""|""world news""|""interview""|""science""|""technology""|""health""|""politics""|""entertainment""|""business""",32977,146,45
LeBron James admits he was ripping Phil Jackson and thinks DeShaun Watson should be the Browns qu...,News/Politics,auth-jvardon-auth,86671,280,128
Which Countries Are About To Collapse?,News/Politics,"nowthis|""nowthis world""|""world news""|""nowthis news""|""international news""|""countries""|""collapse""|""failing countries""|""war in the world""|""fragile states""|""the fragile states index""|""fund for peace""|""social""|""economic""|""political""|""which countries are failing""|""Central African Republic""|""CAR""|""countries that are sinking""|""countries that are dying""|""countries that are going to disappear""|""Somalia""|""colonization""|""dictatorship""|""south sudan""",759217,9848,1511
Iran-Iraq border earthquake is deadliest of 2017 - BBC News,News/Politics,"bbc|""bbc news""|""news""|""iran""|""irak""|""iraq""|""زلزال العراق""|""زلزال ايران""|""هزة ارضية""|""هزة ارضية ايران""|""زلزله""|""زلزله ايران""|""زمين لرزه ايران""|""iran news""|""iran quake""|""earthquake""|""Iran-Iraq border earthquake""|""bbc world news""|""bbc news coverage""|""bbc news live""|""breaking news""",108991,430,45
Aly Raisman On Dr. Larry Nassar’s Medical Treatment: I Didn’t Know It Was Abuse | Megyn Kelly TODAY,News/Politics,"The TODAY Show|""TODAY Show""|""TODAY""|""NBC""|""NBC News""|""Celebrity Interviews""|""TODAY Show Recipes""|""Fitness""|""Lifestyle""|""TODAY Show Interview""|""Ambush Makeover""|""Kathie Lee and Hoda""|""KLG and Hoda""|""olympic gold medalist aly raisman""|""aly raisman""|""aly raisman interview""|""sexual abuse allegations""|""team us doctor""|""team usa doctor larry nassar""|""larry nassar sexual abuse allegation""|""usa gymnastics leaders""|""gymnastics""|""sexual assault""|""gymnast""|""olympic""|""doctor""|""sexual abuse""|""maroney""|""abuse""|""usa gymnastics""",83497,410,28
