title,video_category,tags,views,likes,dislikes
Google Pixelbook: $1000 of Weird!,Science/Tech,"Google Pixelbook|""Chromebook""|""Pixel""|""$1000""|""1000 dollar""|""1000""|""expensive chromebook""|""pixelbook review""|""pixelbook pen""|""chromebook pixel""|""chromebook""|""best chromebook""|""MKBHD""",1646057,53901,1566
Ten-Year-Old's Face Unlocks Face ID on His Mom's iPhone X,Science/Tech,"iPhone X|""Face ID""|""Face ID Fooled""|""Face ID Fail""|""Face ID Test""|""Face ID Review""|""iPhone X Review""|""Facial Recognition""|""Son unlocks mom's iphone x""|""Ten-Year-Old's Face Unlocks Face ID""|""Ten-Year-Old""|""Face Unlocks""",1362421,8970,4131
Selling My iPhone X To a Machine at Walmart,Science/Tech,"iphone x|""iphone 10""|""iphone""|""walmart""|""techsmartt""|""keaton keller""",2900560,37329,34908
The New SpotMini,Science/Tech,"Robots|""Boston Dynamics""|""SpotMini""|""Legged Locomotion""|""Dynamic robot""",5531707,72727,3362
Peephole Reverser? | 9 Pointless Tech Gadgets!,Science/Tech,"tech|""gadgets""|""new""|""2017""|""pointless tech gadgets""|""apple""|""smart product""|""cool gadgets""|""new gadget""|""weird things online""|""tech under""|""tech invention""|""technology""|""unbox""|""unboxing""|""on amazon""|""reacting to""|""family friendly""|""inventions""|""gadgets from""|""things on amazon""|""shopping gadget""|""latest tech""|""weird tech""|""gag gift""|""gift idea""|""kids""|""gift""|""mathias""|""matthias""|""matthiasiam""|""hi5 studios""|""#M757""",623803,17286,511
Apple iPhone X Review: The Best Yet!,Science/Tech,"iPhone X|""iPhone 10""|""iPhone ten""|""notch""|""iPhone notch""|""fullscreen iphone""|""new iphone""|""iPhone X review""|""iPhone 10 review""|""super retina display""|""super retina""|""super retina hd""|""face id""|""FaceID""|""Face ID""|""iPhone X Face ID""|""iPhone facial recognition""|""facial recognition""|""ios 11""|""iOS 11.1""|""iPhone update""|""iOS update""|""iPhone X features""|""iPhone X gestures""|""MKBHD""",1825705,77531,4156
2 Weeks with iPhone X,Science/Tech,"ijustine|""week with iPhone X""|""iphone x""|""apple""|""iphone""|""iphone x review""|""iphone x unboxing""",860406,20489,2507
Making Sandals with Zip-Ties and a Laser,Science/Tech,"laser cutter|""william osman""|""crappy science""|""sandals""|""flip flops""|""laser sandals""|""zip ties""|""diy""|""how to""|""make sandals""|""tap dancing""|""zip tie""|""laser""",153583,6989,92
5 Ice Cream Gadgets put to the Test,Science/Tech,"5 Ice Cream Gadgets|""Ice Cream""|""Cream Sandwich Maker""|""gadgets""|""gadget review""|""review""|""unboxing""|""kitchen gadgets""|""Gadgets put to the Test""|""testing""|""10 Kitchen Gadgets""|""7 Camping Coffee Gadgets""|""10 Kitchen Gadgets put to the Test""",1154280,27632,1096
HomeMade Electric Airplane,Science/Tech,"ultralight|""airplane""|""homemade""|""DIY""|""hoverbike""|""part 103""|""ultra light""|""aircraft""|""aviation""|""do it yourself""|""basement""|""petersripol""|""peter sripol""|""biplane""|""flitetest""|""flite test""|""electric vehicle""|""electric""",372775,21214,119
78557 and Proth Primes - Numberphile,Science/Tech,"numberphile|""prime numbers""|""proth prime""",174023,7010,72
The Making of Hela's Headdress from Thor: Ragnarok,Science/Tech,"tested|""testedcom""|""designercon 2017""|""preview""|""toys""|""props""|""costumes""|""ironhead studio""|""marvel""|""thor""|""thor 3""|""thor ragnorok""|""thor ragnarok""|""hela""|""helmet""|""cosplay""|""headdress""|""costume""",327935,4345,175
Apple iPhone X - One Week Later,Science/Tech,"iPhone X|""Apple iPhone X""|""iPhone X One Week Later""|""iPhone X Accessories""|""iPhone X Real Review""|""iPhone X Overview""|""iPhone X Space Gray""|""iPhone X Cases""|""FCPX""|""Apple""|""iPhone X vs iPhone 8""|""Best iPhone 2018""|""iPhone X vs Galaxy Note 8""|""dbrand""|""Google Pixel XL 2 vs iPhone X""|""Animoji""|""Portrait Mode""",9036,427,14
The Super Google Pixel 2 Camera Upgrade!,Science/Tech,"Google|""Pixel 2""|""Pixel 2 XL""|""Pixel 2 Camera""|""Moment Lens""|""Pixel 2 Moment case""|""Moment Case Lens""|""Smartphone""|""2017""|""Apple""|""google pixel""|""apple iphone x""|""pixel 2 xl review""|""iphone 8""|""iphone""|""google pixel 2""|""camera""|""google pixel xl""|""pixel 2 unboxing""|""review""|""iphone x""|""pixel""|""android""|""tech""|""jonathan morrison""|""tld""",300601,10497,382
How Bkav tricked iPhone X's Face ID with a mask,Science/Tech,"bkav|""iphonex""|""iphone x""|""face id""|""faceid""|""iphone10""|""face id beaten""|""bphone2017""|""bphone""|""apple""|""Nguyen Tu Quang""|""Ngo Tuan Anh""|""Nguyễn Tử Quảng""|""Ngô Tuấn Anh""",1167646,2691,916
dapulse is now monday.com. And there's a good reason why.,Science/Tech,"dapulse|""monday.com""|""monday""|""project management""",5366,19,0
Coconut crab hunts seabird,Science/Tech,"crab|""bird""|""biology""|""animal""|""ecology""|""nature""",465893,111,14
"What's new, Atlas?",Science/Tech,"Robotics|""Humanoid Robots""|""Legged Locomotion""|""Dynamic robots""|""Boston Dynamics""",1603415,65594,700
Top 5 OnePlus 5T Features!,Science/Tech,"OnePlus 5T|""OnePlus 5T preview""|""OnePlus 5T review""|""OnePlus 5T features""|""OnePlus""|""5T""|""OnePlus 6""|""MKBHD""|""OnePlus 5T vs""|""camera""|""OnePlus camera""|""OnePlus 5T camera""",1117997,50946,760
Is the Surface Book 2 a MacBook Pro Killer?,Science/Tech,"surface book|""surface book 2""|""microsoft surface book 2""|""microsoft surface book""|""surface""|""microsoft surface""|""macbook""|""macbook pro""|""surface book 2 review""|""new surface book""|""new surface""|""microsoft""|""windows 10""|""apple""|""laptop""|""tablet""|""review""|""windows""|""tech""|""austin evans""",270859,11492,576
Google Pixel Buds review,Science/Tech,"pixel buds|""google pixel buds""|""google pixel buds review""|""wireless earbuds""|""review""|""google assistant""|""airpods""|""translate""|""translation""|""the verge""|""verge""|""sean o'kane""|""google""",218153,5155,308
Ten-Year-Old's Face Unlocks Face ID on His Mom's iPhone X,Science/Tech,"Face ID Fail|""Son unlocks mom's iphone x""|""Ten-Year-Old's Face Unlocks Face ID""|""Ten-Year-Old""|""10 year old""|""10 year old iphone x""|""10-year-old iphone x""|""10 year old unlocked iphone x""|""iphone x""|""unlocks""|""mom""|""unlocked""|""iphone""",1828753,10814,5339
Peephole Reverser? | 9 Pointless Tech Gadgets!,Science/Tech,"tech|""gadgets""|""new""|""2017""|""pointless tech gadgets""|""apple""|""smart product""|""cool gadgets""|""new gadget""|""weird things online""|""tech under""|""tech invention""|""technology""|""unbox""|""unboxing""|""on amazon""|""reacting to""|""family friendly""|""inventions""|""gadgets from""|""things on amazon""|""shopping gadget""|""latest tech""|""weird tech""|""gag gift""|""gift idea""|""kids""|""gift""|""mathias""|""matthias""|""matthiasiam""|""hi5 studios""|""#M757""",736829,18708,794
The truth about the Apple iPhone X - Review!,Science/Tech,"iPhone X Review|""iPhone 10 Review""|""iPhone 10""|""iphone x""|""iphone x unboxing""|""iphone x review""|""unboxing""|""review""|""iphone 2017""|""apple iphone x""|""iphone x hands on""|""iphone x vs""|""iphone x vs iphone 8""|""2017""|""apple""|""iphone x specs""|""new iphone""|""iphone 10""|""iphone""|""animoji""|""iphone 10 review""|""iphone x vs 8""|""face id""|""smartphone""|""iPhone X Camera""|""iphone x vs iphone 8 plus""|""iphone ten""",516456,21523,1107
Selling My iPhone X To a Machine at Walmart,Science/Tech,"iphone x|""iphone 10""|""iphone""|""walmart""|""techsmartt""|""keaton keller""",3495474,41976,42467
2 Weeks with iPhone X,Science/Tech,"ijustine|""week with iPhone X""|""iphone x""|""apple""|""iphone""|""iphone x review""|""iphone x unboxing""",914680,21174,2586
