title,video_category,tags,views,likes,dislikes
Brazil's Video Game Gray Markets,Travel/Events,"clothmap|""drew scanlon""|""são paulo""|""sao paulo""|""Santa Ifigênia""|""Santa Efigenia""|""pirated games""|""pirated game consoles""|""grey market""|""andré campos""|""jogabilidade""|""gus lanzetta""|""Rafael Quina""|""bootleg""|""brazilian game consoles""|""brazilian games""|""documentary""|""sega""|""telejogo""|""dynavision""|""telegame""|""guitar idol""|""smash mouth all star""|""clones""|""turbo game""|""nes clone""|""master system clone""|""dactar""|""chapolim x dracula""|""ghost house""|""mortal kombat nes""|""street fighter nes""|""sonic 4 snes""",76351,5508,29
"INDIAN STREET FOOD of YOUR DREAMS in Kolkata, India | ENTER CURRY HEAVEN + BEST STREET FOOD in India",Travel/Events,"food ranger|""food""|""street food""|""the food ranger""|""trevor james""|""street food videos""|""best street food""|""2017""|""street food around the world""|""street""|""best""|""indian street food""|""indian food""|""street food india""|""food ranger india""|""india""|""kolkata""|""indian""|""curry""|""kolkata street food""|""kolkata food""|""street food indian""|""street food kolkata""|""indian cooking""|""india street food""|""calcutta""|""indian street food kolkata""|""bengali street food""|""india food tour""|""indian food tour""",341584,11547,389
"INDIAN STREET FOOD of YOUR DREAMS in Kolkata, India | ENTER CURRY HEAVEN + BEST STREET FOOD in India",Travel/Events,"food ranger|""food""|""street food""|""the food ranger""|""trevor james""|""street food videos""|""best street food""|""2017""|""street food around the world""|""street""|""best""|""indian street food""|""indian food""|""street food india""|""food ranger india""|""india""|""kolkata""|""indian""|""curry""|""kolkata street food""|""kolkata food""|""street food indian""|""street food kolkata""|""indian cooking""|""india street food""|""calcutta""|""indian street food kolkata""|""bengali street food""|""india food tour""|""indian food tour""",420650,12910,492
"INDIAN STREET FOOD of YOUR DREAMS in Kolkata, India | ENTER CURRY HEAVEN + BEST STREET FOOD in India",Travel/Events,"food ranger|""food""|""street food""|""the food ranger""|""trevor james""|""street food videos""|""best street food""|""2017""|""street food around the world""|""street""|""best""|""indian street food""|""indian food""|""street food india""|""food ranger india""|""india""|""kolkata""|""indian""|""curry""|""kolkata street food""|""kolkata food""|""street food indian""|""street food kolkata""|""indian cooking""|""india street food""|""calcutta""|""indian street food kolkata""|""bengali street food""|""india food tour""|""indian food tour""",480970,13941,536
"INDIAN STREET FOOD of YOUR DREAMS in Kolkata, India | ENTER CURRY HEAVEN + BEST STREET FOOD in India",Travel/Events,"food ranger|""food""|""street food""|""the food ranger""|""trevor james""|""street food videos""|""best street food""|""2017""|""street food around the world""|""street""|""best""|""indian street food""|""indian food""|""street food india""|""food ranger india""|""india""|""kolkata""|""indian""|""curry""|""kolkata street food""|""kolkata food""|""street food indian""|""street food kolkata""|""indian cooking""|""india street food""|""calcutta""|""indian street food kolkata""|""bengali street food""|""india food tour""|""indian food tour""",521205,14606,553
A Train Runs Through It: Thailand’s Most Dangerous Market,Travel/Events,"great big story|""gbs""|""lag""|""documentary""|""docs""|""Train""|""Thailand""|""Railway""|""Railroad""|""Weird & Fun Knowledge""|""Travel & Adventure""|""Lifestyle & Entertainment""|""Market""|""Bangkok""|""Food market""|""food""|""Food & Drink""",84056,2960,42
"INDIAN STREET FOOD of YOUR DREAMS in Kolkata, India | ENTER CURRY HEAVEN + BEST STREET FOOD in India",Travel/Events,"food ranger|""food""|""street food""|""the food ranger""|""trevor james""|""street food videos""|""best street food""|""2017""|""street food around the world""|""street""|""best""|""indian street food""|""indian food""|""street food india""|""food ranger india""|""india""|""kolkata""|""indian""|""curry""|""kolkata street food""|""kolkata food""|""street food indian""|""street food kolkata""|""indian cooking""|""india street food""|""calcutta""|""indian street food kolkata""|""bengali street food""|""india food tour""|""indian food tour""",554289,15105,567
A Train Runs Through It: Thailand’s Most Dangerous Market,Travel/Events,"great big story|""gbs""|""lag""|""documentary""|""docs""|""Train""|""Thailand""|""Railway""|""Railroad""|""Weird & Fun Knowledge""|""Travel & Adventure""|""Lifestyle & Entertainment""|""Market""|""Bangkok""|""Food market""|""food""|""Food & Drink""",163473,4289,81
"INDIAN STREET FOOD of YOUR DREAMS in Kolkata, India | ENTER CURRY HEAVEN + BEST STREET FOOD in India",Travel/Events,"food ranger|""food""|""street food""|""the food ranger""|""trevor james""|""street food videos""|""best street food""|""2017""|""street food around the world""|""street""|""best""|""indian street food""|""indian food""|""street food india""|""food ranger india""|""india""|""kolkata""|""indian""|""curry""|""kolkata street food""|""kolkata food""|""street food indian""|""street food kolkata""|""indian cooking""|""india street food""|""calcutta""|""indian street food kolkata""|""bengali street food""|""india food tour""|""indian food tour""",583281,15564,589
A Train Runs Through It: Thailand’s Most Dangerous Market,Travel/Events,"great big story|""gbs""|""lag""|""documentary""|""docs""|""Train""|""Thailand""|""Railway""|""Railroad""|""Weird & Fun Knowledge""|""Travel & Adventure""|""Lifestyle & Entertainment""|""Market""|""Bangkok""|""Food market""|""food""|""Food & Drink""",202927,4929,93
A Train Runs Through It: Thailand’s Most Dangerous Market,Travel/Events,"great big story|""gbs""|""lag""|""documentary""|""docs""|""Train""|""Thailand""|""Railway""|""Railroad""|""Weird & Fun Knowledge""|""Travel & Adventure""|""Lifestyle & Entertainment""|""Market""|""Bangkok""|""Food market""|""food""|""Food & Drink""",251968,5830,106
"Mesmerizing Shockwaves in Your Window Screen (18,000FPS) - Beyond Slow Motion",Travel/Events,"science|""slow motion""|""molten metal""|""shockwave""|""18000fps""|""frames per second""|""phantom camera""|""the slowmo guys""|""slowmoguys""|""gizmoslip""|""thebackyardscientist""|""high speed""|""grid""|""grid type shockwave""|""amazing slow motion""|""slomo""|""rad science""",12468,310,12
Flying Through a  Sunset Storm || ViralHog,Travel/Events,"viralhog|""2017""|""airplanes""|""Cool""|""Weather""|""storm""|""lightning""",2700,59,2
A Train Runs Through It: Thailand’s Most Dangerous Market,Travel/Events,"great big story|""gbs""|""lag""|""documentary""|""docs""|""Train""|""Thailand""|""Railway""|""Railroad""|""Weird & Fun Knowledge""|""Travel & Adventure""|""Lifestyle & Entertainment""|""Market""|""Bangkok""|""Food market""|""food""|""Food & Drink""",296880,6671,120
70 People Try 70 Tongue-Twisters From 70 Countries | Condé Nast Traveler,Travel/Events,"best tongue twister|""english tongue twisters""|""funny tongue twisters""|""tongue twister challenge""|""tongue twister chinese""|""tongue twister english""|""around the world""|""tongue twister""|""word games""|""language""|""languages""|""70 people""|""seventy people""|""tongue twisters""|""world countries""|""top countries""|""countries of the world""|""country""|""best countries""|""geography""|""countries in the world""|""accents""|""accent""|""travel""|""conde nast traveler""|""travel videos""|""travel guide""",30269,259,30
A Train Runs Through It: Thailand’s Most Dangerous Market,Travel/Events,"great big story|""gbs""|""lag""|""documentary""|""docs""|""Train""|""Thailand""|""Railway""|""Railroad""|""Weird & Fun Knowledge""|""Travel & Adventure""|""Lifestyle & Entertainment""|""Market""|""Bangkok""|""Food market""|""food""|""Food & Drink""",326955,7248,129
70 People Try 70 Tongue-Twisters From 70 Countries | Condé Nast Traveler,Travel/Events,"best tongue twister|""english tongue twisters""|""funny tongue twisters""|""tongue twister challenge""|""tongue twister chinese""|""tongue twister english""|""around the world""|""tongue twister""|""word games""|""language""|""languages""|""70 people""|""seventy people""|""tongue twisters""|""world countries""|""top countries""|""countries of the world""|""country""|""best countries""|""geography""|""countries in the world""|""accents""|""accent""|""travel""|""conde nast traveler""|""travel videos""|""travel guide""",31990,265,30
Welcome to Winter PUNderland,Travel/Events,"christmas|""christmas decorations""|""outdoor""|""inspirations""|""inspiration""|""pun""|""puns""|""funny""|""lights""|""lightshow""|""light show""|""unique""|""fun""|""creative""|""clever""|""classy""|""absurd""|""winter""|""punderland""|""winter punderland""|""holiday""|""decor""|""michael caine""|""seasons greetings""|""ho ho ho""|""rock around the christmas tree""|""rocking""|""silver bells""|""gingerbread man""|""ginger""|""bread""|""man""|""stockings""|""stock""|""kings""|""silent""|""knight""|""night""|""wife""|""wine""|""husband""|""hilarious""",49461,766,31
Welcome to Winter PUNderland,Travel/Events,"christmas|""christmas decorations""|""outdoor""|""inspirations""|""inspiration""|""pun""|""puns""|""funny""|""lights""|""lightshow""|""light show""|""unique""|""fun""|""creative""|""clever""|""classy""|""absurd""|""winter""|""punderland""|""winter punderland""|""holiday""|""decor""|""michael caine""|""seasons greetings""|""ho ho ho""|""rock around the christmas tree""|""rocking""|""silver bells""|""gingerbread man""|""ginger""|""bread""|""man""|""stockings""|""stock""|""kings""|""silent""|""knight""|""night""|""wife""|""wine""|""husband""|""hilarious""",61840,850,35
Donald Trump audio-animatronic figure at the new Hall of Presidents,Travel/Events,"Hall of Presidents|""Donald Trump""|""Animatronic""",188213,4174,2743
FIRST LOOK: Donald Trump animatronic debuts in Hall of Presidents at Walt Disney World,Travel/Events,"Donald Trump|""Hall of Presidents""|""Magic Kingdom""|""Walt Disney World""|""Animatronic""",80200,1194,1142
Donald Trump audio-animatronic figure at the new Hall of Presidents,Travel/Events,"Hall of Presidents|""Donald Trump""|""Animatronic""",792374,10060,7688
The Most Beautiful Restaurant in Japan - Kyoto Kitcho,Travel/Events,"simonandmartina|""simon""|""martina""|""simon and martina""|""Tokyo""|""Japan""|""eatyourkimchi""|""eat your kimchi""|""eat your sushi""|""eatyoursushi""|""kyoto""|""kitcho""|""arashiyama""|""3 michelin star""|""Japanese Food""|""Kaiseki""|""most expensive restaurant""|""Kunio Tokuoka""|""京都吉兆""|""懐石""|""懐石料理""|""茶懐石""",67025,5946,74
Donald Trump animatronic debuts in Hall of Presidents at Walt Disney World,Travel/Events,"Donald Trump|""Hall of Presidents""|""Magic Kingdom""|""Walt Disney World""|""Animatronic""|""Audio-Animatronic""|""figure""|""robot""|""debut""|""close up""|""Disney""",309393,2837,3068
The Most Beautiful Restaurant in Japan - Kyoto Kitcho,Travel/Events,"simonandmartina|""simon""|""martina""|""simon and martina""|""Tokyo""|""Japan""|""eatyourkimchi""|""eat your kimchi""|""eat your sushi""|""eatyoursushi""|""kyoto""|""kitcho""|""arashiyama""|""3 michelin star""|""Japanese Food""|""Kaiseki""|""most expensive restaurant""|""Kunio Tokuoka""|""京都吉兆""|""懐石""|""懐石料理""|""茶懐石""",221528,12027,234
Donald Trump audio-animatronic figure at the new Hall of Presidents,Travel/Events,"Hall of Presidents|""Donald Trump""|""Animatronic""",966532,11380,8648
Donald Trump animatronic debuts in Hall of Presidents at Walt Disney World,Travel/Events,"Donald Trump|""Hall of Presidents""|""Magic Kingdom""|""Walt Disney World""|""Animatronic""|""Audio-Animatronic""|""figure""|""robot""|""debut""|""close up""|""Disney""",366588,3099,3392
The Most Beautiful Restaurant in Japan - Kyoto Kitcho,Travel/Events,"simonandmartina|""simon""|""martina""|""simon and martina""|""Tokyo""|""Japan""|""eatyourkimchi""|""eat your kimchi""|""eat your sushi""|""eatyoursushi""|""kyoto""|""kitcho""|""arashiyama""|""3 michelin star""|""Japanese Food""|""Kaiseki""|""most expensive restaurant""|""Kunio Tokuoka""|""京都吉兆""|""懐石""|""懐石料理""|""茶懐石""",269185,13233,271
"Thank you, Paloma",Travel/Events,"lyft|""driver""|""good deed""|""kind""|""kindness""|""lyft driver""|""vegas""|""Paloma""|""Las Vegas""|""shooting""|""October""",31088,944,26
Donald Trump audio-animatronic figure at the new Hall of Presidents,Travel/Events,"Hall of Presidents|""Donald Trump""|""Animatronic""",1010286,11578,8786
