title,video_category,tags,views,likes,dislikes
Empire Of The Sun - Way To Go,Music,"Empire|""Of""|""The""|""Sun""|""Way""|""To""|""Go""|""EMI""|""Alternative""|""eots""|""waay""|""too""|""goo""|""emipre of the sun""|""son""|""electronic""|""edm""|""australian""|""adm""|""aussie music. triplej""|""like a version""|""two leaves""|""flume""|""alison wonderland""|""cut copy""|""pnau""|""mgmt""|""hot chip""|""the presets""|""phoenix""|""hermitude""|""Nobumichi Asai""|""Ryo Kitabatake""",138988,7999,84
NF - Let You Down,Music,"NF|""Let You Down""|""music video""|""official video""|""I'm sorry that I let you down""|""nfrealmusic""|""perception""|""nf official""|""hip-hop""|""rap""|""singer""",1774018,88417,1002
Bastille - World Gone Mad (from Bright: The Album) [Official Music Video],Music,"music|""official""|""music video""|""Bright""|""Bright: The Album""|""Bright The Album""|""Bastille""|""World Gone Mad""|""Atlantic Records""|""will smith""|""orc""",626688,25115,499
Typical audience reaction to a bass solo...,Music,"danny sapko|""bass""|""funk bass""|""bass solo""|""free mp3 download""|""best bass""|""davie504""|""bass boosted songs""|""MEME""|""FUNNY VIDEO""|""VIRAL VIDEO""|""COWS""|""FUNK BASS""|""funk bass solo""",493662,7693,181
Sia - Snowman,Music,Sia Snowman Holiday,1624771,84426,1130
2CELLOS - Cinema Paradiso [OFFICIAL VIDEO],Music,"2CELLOS|""Luka Sulic""|""Stjepan Hauser""|""cello""|""cellist""|""cellists""|""cover""|""Glee""|""The Piano Guys""|""crossover""|""2 Cellos""|""two cellos""|""Hauser""|""Ennio Morricone""|""Cinema Paradiso""|""movie""|""film""|""soundtrack""|""classical""|""music""|""passion""|""Oliver Dragojevic""|""LSO""|""London Symphony Orchestra""|""new album""|""score""",205869,11198,120
Sam Smith - The Thrill of It All ALBUM REVIEW,Music,"album|""review""|""music""|""reviews""|""indie""|""underground""|""new""|""latest""|""lyrics""|""full song""|""listen""|""track""|""concert""|""live""|""performance""|""update""|""the needle drop""|""anthony fantano""|""vlog""|""talk""|""discussion""|""music nerd""|""pop""|""soul""|""sam smith""|""the thrill of it all""|""in the lonely hour""|""too good at goodbyes""|""say it first""|""pray""|""london""",98422,2926,106
Andy Grammer - The Good Parts (Official Audio),Music,"andy|""grammer""|""the""|""good""|""parts""|""smoke""|""clears""|""new""|""music""|""album""|""singer""|""songwriter""|""pop""|""mu""",33315,1365,24
Remy Ma - Wake Me Up (Audio) ft. Lil' Kim,Music,"Columbia|""Hip Hop""|""Remy Ma feat. Lil' Kim""|""Wake Me Up""",1231518,32648,6221
"Pitbull, Stereotypes - Jungle (Lyric Video) ft. E-40, Abraham Mateo",Music,"Jungle|""Mr.305/Polo Grounds Music/RCA Records""|""Pitbull & Stereotypes feat. E-40 & Abraham Mateo""|""Pop""",264511,11736,532
Alicia Keys - When You Were Gone,Music,[none],95944,1354,181
Elbow - Golden Slumbers (John Lewis Advert 2017),Music,"Elbow|""Golden""|""Slumbers""|""Polydor""|""Alternative""",154494,2163,147
Sigrid - Strangers (Lyric Video),Music,"Sigrid|""Strangers""|""Island""|""Records""|""Pop""",91776,4604,46
MØ - When I Was Young (Official Video),Music,"Chess Club/RCA Victor|""MØ""|""Pop""|""When I Was Young""",764716,35765,483
The Script - Arms Open (Acoustic) [Audio],Music,"the script|""the script new single""|""the script arms open""|""the script arms open acoustic""|""the script arms open acoustic version""|""rain""|""hall of fame""|""breakeven""|""superheroes""|""rain lyrics""|""for the first time""|""the man who can't be moved""|""if you could see me now""|""Arms Open (Acoustic)""|""Columbia""|""Pop""|""The Script""",135337,7158,89
Improvising in the style of different classical composers | Practice Notes 34,Music,"improvise classical music|""improvisation""|""classical music improv""|""debussy improv""|""whole tone scale""|""bach improv""|""chopin""|""chopin improv""|""classical music""|""piano improv""|""nahre sol""|""nahre sol music""|""classical composers imitation""|""classical music funny""|""music funny""|""music satire""|""music imitation""|""piano improviser""",5149,242,0
Thirty Seconds To Mars - Walk On Water (Official Music Video),Music,"Thirty|""Seconds""|""To""|""Mars""|""Walk""|""On""|""Water""|""to""|""Mars/Interscope""|""Records""|""Alternative""|""Thirty Seconds To Mars""|""Thirty Seconds to Mars Ellen""|""30 seconds to mars ellen""|""mars ellen""|""ellen""|""Walk On Water""|""Thirty Seconds to Mars""|""30 seconds to mars walk on water""|""thirty seconds to mars walk on water""|""mars""|""mars walk on water""|""walk on water vid""|""30 sec to mars""|""30 secs to mars walk on water""|""walk on water video""|""official video""|""vid""",1905487,65854,2442
Harry Styles - Kiwi,Music,"Columbia|""Harry Styles""|""Kiwi""|""Pop""",9632678,810895,16139
Maroon 5 - What Lovers Do (Live On The Ellen DeGeneres Show/2017),Music,Maroon 5 SZA What Lovers Do Red Pill Blues Ellen show Ellen DeGeneres,762616,20159,336
Enter Shikari - The Sights (Official Video),Music,"enter|""shikari""|""Enter Shikari""|""The Sights""|""The Spark""|""Ally Pally""|""Radio 1""|""Lower Than Atlantis""|""Twenty one pilots""|""Pvris""|""royal blood""|""Pierce the veil""|""neck deep""|""don broco""|""sleeping with sirens""|""sorry you're not a winner""",99619,3959,158
Last Friday Night - Katy Perry ('40s Jazz Vibes Style Cover) ft. Olivia Kuper Harris,Music,"last friday night|""ella fitzgerald""|""jazz""|""swing""|""olivia kuper harris""|""katy perry""|""katie perry""|""cover""|""pmj""|""katy perry cover""|""last friday night cover""|""katy perry last friday night""|""last friday night katy perry""|""katy perry last friday night cover""|""last friday night katy perry cover""|""katy perry cover last friday night""|""last friday night cover katy perry""|""cover katy perry""|""cover last friday night""|""cover last friday night katy perry""|""olivia kuper harris cover""|""olivia kuper harris live""",226088,10844,302
P!nk - Barbies (Audio),Music,"Barbies|""P!nk""|""Pop""|""RCA Records Label""",651036,23338,442
