title,video_category,tags,views,likes,dislikes
TOTAL FAIL! NATASHA DENONA HOLIDAY WTF,Howto/Style,"YouTube|""Beauty""|""Makeup""|""Tutorial""|""Review""|""vlogger""|""blogger""|""Tati""|""Westbrook""|""GlamLifeGuru""|""how to""|""makeup tutorial""|""Beauty expert""|""drugstore""|""luxury""|""Haul""|""favorites""|""Best""|""worst""|""cosmetics""|""Natasha Denona""|""Holiday collection""|""Holiday Makeup 2017""|""Holiday Gift Set""|""Metallic Shadow""|""Sephora""|""Giveaway""|""Fail""|""Regret""",1277364,56867,2148
How I Trained My Cats,Howto/Style,"how|""trained""|""cat""|""cats""|""train""|""how to""|""how i trained my cats""|""cook""|""Jun""|""Rachel""|""Japanese""|""food""|""training""|""paw""|""trick""|""cooking""|""ジュン""|""キッチン""|""料理""|""ねこ""|""ぬこ""|""お手""|""日本""|""英語""|""Juns kitchen""|""Jun's kitchen""|""yt:cc=on""",977285,87615,391
Is the Morphe 3502 Palette Worth the Hype? | Jackie Aina,Howto/Style,"morphe|""morphe 350""|""morphe 3502 review""|""morphe 3502 swatches""|""morphe 3502 review dark skin""|""morphe discount code""|""morphe code""",175539,17130,264
Japanese Food Tour with Frank Pinello and Sakura Yagi | Sean in the Wild,Howto/Style,"First we feast|""fwf""|""firstwefeast""|""food""|""food porn""|""cook""|""cooking""|""chef""|""kitchen""|""recipe""|""cocktail""|""bartender""|""craft beer""|""complex""|""complex media""|""Cook (Profession)sean evans""|""sean evans""|""sean in the wild""|""frank pinello""|""the pizza show""|""japanese food""|""sakura yagi""|""little tokyo""|""east village""|""soba noodles""|""omurice""",145100,5198,74
EARL GREY MACARONS- The Scran Line,Howto/Style,"cupcakes|""how to make vanilla cupcakes""|""over the top recipes""|""easy cupcake recipes""|""vanilla cupcakes""|""chocolate cupcakes""|""french macarons""|""how to make macarons""|""the scran line""|""the scranline""|""nick makrides""|""pastry design""|""how to pipe cupcakes""",20778,1440,24
Why a New York Ice Cream Shop is Releasing Ham Ice Cream — The Meat Show,Howto/Style,"ham|""ice cream""|""candied""|""candy""|""pineapple""|""candied fruit""|""ice cream flavor""|""flavor""|""pinapple""|""oddfellows""|""sam mason""|""maple bacon""|""bacon ice cream""|""ice cream shop""|""hawaiian pizza""|""hawaii""|""thanksgiving""|""creation""|""invention""|""new york""|""new""|""try it""|""dessert""|""steak""|""sushi""|""eater""|""eater.com""|""food""|""foodie""|""dining""|""dish""|""restaurant""|""restaurants""|""review""|""news""|""munchies""|""food porn""|""Cooking (Interest)""|""recipe""|""Eating""|""barbecue""|""the meat show""|""nick solares""",31639,586,42
"What $4,800 Will Get You In NYC | Sweet Digs Home Tour | Refinery29",Howto/Style,"refinery29|""refinery 29""|""r29""|""r29 video""|""video""|""refinery29 video""|""female""|""empowerment""|""house tour""|""sweet digs""|""new york city""|""apartment decor""|""interior design""|""home tour""|""big apple""|""real estate""|""apartment""|""new apartment tour""|""bedroom tour""|""new apartment""|""house tour 2017""|""living room""|""living room decor""|""walk through""|""nyc apartment""|""new house""|""kitchen tour""|""modern home""|""decorating on a budget""|""my new house""|""moving out""|""video blog""|""manhattan""|""NY""|""central park""",225044,2265,775
A Smart... MUG?! - Take apart a Heated Thermos!,Howto/Style,"Smart mug|""Heated thermos""|""tech""|""gift idea""|""unboxed""|""Ember mug""|""ember""|""Ember review""|""Heated mug""|""teardown""|""technology""|""Thermous""|""winter""|""holiday""|""christmas""|""gift""|""mug""|""unboxing""",231104,12862,347
iPhone X vs Makeup Transformation (Face ID TEST),Howto/Style,"iphone x|""iphonex makeup""|""iphonex test""|""new iphone""|""iphone vs makeup""|""face id""|""face id test""|""iphone x challenge""|""iphone hack""|""iphone x makeup tutorial""|""makup tutorial""|""2017 makeup""|""promise phan""|""twins face id""|""twins iphonex""|""iphonex face""|""iphonex review""",1775997,37124,1980
John Lewis Christmas Ad 2017 - #MozTheMonster,Howto/Style,"christmas|""john lewis christmas""|""john lewis""|""christmas ad""|""mozthemonster""|""christmas 2017""|""christmas ad 2017""|""john lewis christmas advert""|""moz""",7563254,58209,10859
