title,video_category,tags,views,likes,dislikes
FIA GT World Cup 2017. Qualification Race Macau Grand Prix. Huge Pile Up,Automotive/Vehicle,"GT Series|""Qualification Race""|""Macau Grand Prix""|""FIA GT World Cup""|""Pile Up""|""traffic jam""|""start""|""1st lap""|""big crash""|""carnage""|""racing""|""wtf""|""Circuito da Guia""|""Sports car racing""|""Guia Circuit""|""Macau Peninsula""|""Macau (China)""|""#MacauGP""|""red flag""|""Hiroki Yoshimoto""|""Chaz Mostert""|""Fabian Plentz""|""Robin Frijns""|""Darryl O'Young""|""Romain Dumas""|""Mirko Bortolotti""|""Marco Wittmann""|""Renger Van der Zande""|""Felix Rosenqvist""|""Lucas di Grassi""|""#GTWorldCup""|""Meanwhile at Macau""|""Macau street circuit""",831968,3925,221
Small Truck VS  Strong Wind,Automotive/Vehicle,"2017|""trending""|""Featured""|""Trucks""|""viralhog""|""Weather""|""Croatia""|""windy""|""small""|""truck""|""strong""|""driving""|""blow""",12212,4,1
"The Crazy 5,000hp Devel Sixteen is REAL! | FIRST LOOK",Automotive/Vehicle,"Devel|""Sixteen""|""Devel Sixteen""|""Hypercar""|""Drag Racer""|""5000hp""|""Crazy""|""Fast""|""Ridiculous""|""Insane""|""Dubai""|""UAE""|""Motorshow""|""Launch""|""Premiere""|""Dubai Motorshow""|""DIMS""|""Exclusive""|""Introduction""|""Intro""|""V16""|""5000bhp""|""Fastest""|""Top Speed""|""Record""|""Shmee""|""Shmee150""",415473,6763,542
"I TOOK THE $3,000,000 LAMBO TO CARMAX! They offered me......",Automotive/Vehicle,"carmax|""lamborghini miura""|""miura carmax""|""lamborghini carmax""|""took lamborghini to carmax""|""supercar carmax""|""selling my car at acrmax""|""lambo carmax""|""stradman""|""vehicle virgins""|""doug demuro""",1579188,42376,5665
FIA GT World Cup 2017. Qualification Race Macau Grand Prix. Huge Pile Up,Automotive/Vehicle,"GT Series|""Qualification Race""|""Macau Grand Prix""|""FIA GT World Cup""|""Pile Up""|""traffic jam""|""start""|""1st lap""|""big crash""|""carnage""|""racing""|""wtf""|""Circuito da Guia""|""Sports car racing""|""Guia Circuit""|""Macau Peninsula""|""Macau (China)""|""#MacauGP""|""red flag""|""Hiroki Yoshimoto""|""Chaz Mostert""|""Fabian Plentz""|""Robin Frijns""|""Darryl O'Young""|""Romain Dumas""|""Mirko Bortolotti""|""Marco Wittmann""|""Renger Van der Zande""|""Felix Rosenqvist""|""Lucas di Grassi""|""#GTWorldCup""|""Meanwhile at Macau""|""Macau street circuit""",1992282,10103,629
Elon Musk Gives First Look At Tesla's Electric Semi,Automotive/Vehicle,"Tech Insider|""TI""|""Tech""|""Science""|""Innovation""|""Digital culture""|""Design""|""Technology""|""Tesla""|""Elon Musk""|""Tesla Motors""|""Semi truck""|""Electric truck""|""Cars""|""Truck""|""Transportation""|""Electric semi truck""|""Tesla truck""",741859,8604,599
Small Truck VS  Strong Wind,Automotive/Vehicle,"2017|""trending""|""Featured""|""Trucks""|""viralhog""|""Weather""|""Croatia""|""windy""|""small""|""truck""|""strong""|""driving""|""blow""",12953,5,2
"The Crazy 5,000hp Devel Sixteen is REAL! | FIRST LOOK",Automotive/Vehicle,"Devel|""Sixteen""|""Devel Sixteen""|""Hypercar""|""Drag Racer""|""5000hp""|""Crazy""|""Fast""|""Ridiculous""|""Insane""|""Dubai""|""UAE""|""Motorshow""|""Launch""|""Premiere""|""Dubai Motorshow""|""DIMS""|""Exclusive""|""Introduction""|""Intro""|""V16""|""5000bhp""|""Fastest""|""Top Speed""|""Record""|""Shmee""|""Shmee150""",451675,7014,579
"I TOOK THE $3,000,000 LAMBO TO CARMAX! They offered me......",Automotive/Vehicle,"carmax|""lamborghini miura""|""miura carmax""|""lamborghini carmax""|""took lamborghini to carmax""|""supercar carmax""|""selling my car at acrmax""|""lambo carmax""|""stradman""|""vehicle virgins""|""doug demuro""",1694708,43997,6027
FIA GT World Cup 2017. Qualification Race Macau Grand Prix. Huge Pile Up,Automotive/Vehicle,"GT Series|""Qualification Race""|""Macau Grand Prix""|""FIA GT World Cup""|""Pile Up""|""traffic jam""|""start""|""1st lap""|""big crash""|""carnage""|""racing""|""wtf""|""Circuito da Guia""|""Sports car racing""|""Guia Circuit""|""Macau Peninsula""|""Macau (China)""|""#MacauGP""|""red flag""|""Hiroki Yoshimoto""|""Chaz Mostert""|""Fabian Plentz""|""Robin Frijns""|""Darryl O'Young""|""Romain Dumas""|""Mirko Bortolotti""|""Marco Wittmann""|""Renger Van der Zande""|""Felix Rosenqvist""|""Lucas di Grassi""|""#GTWorldCup""|""Meanwhile at Macau""|""Macau street circuit""",2823869,14873,902
Elon Musk Gives First Look At Tesla's Electric Semi,Automotive/Vehicle,"Tech Insider|""TI""|""Tech""|""Science""|""Innovation""|""Digital culture""|""Design""|""Technology""|""Tesla""|""Elon Musk""|""Tesla Motors""|""Semi truck""|""Electric truck""|""Cars""|""Truck""|""Transportation""|""Electric semi truck""|""Tesla truck""",789872,8909,633
Small Truck VS  Strong Wind,Automotive/Vehicle,"2017|""trending""|""Featured""|""Trucks""|""viralhog""|""Weather""|""Croatia""|""windy""|""small""|""truck""|""strong""|""driving""|""blow""",13659,7,2
FIA GT World Cup 2017. Qualification Race Macau Grand Prix. Huge Pile Up,Automotive/Vehicle,"GT Series|""Qualification Race""|""Macau Grand Prix""|""FIA GT World Cup""|""Pile Up""|""traffic jam""|""start""|""1st lap""|""big crash""|""carnage""|""racing""|""wtf""|""Circuito da Guia""|""Sports car racing""|""Guia Circuit""|""Macau Peninsula""|""Macau (China)""|""#MacauGP""|""red flag""|""Hiroki Yoshimoto""|""Chaz Mostert""|""Fabian Plentz""|""Robin Frijns""|""Darryl O'Young""|""Romain Dumas""|""Mirko Bortolotti""|""Marco Wittmann""|""Renger Van der Zande""|""Felix Rosenqvist""|""Lucas di Grassi""|""#GTWorldCup""|""Meanwhile at Macau""|""Macau street circuit""",3138088,16297,1003
Elon Musk Gives First Look At Tesla's Electric Semi,Automotive/Vehicle,"Tech Insider|""TI""|""Tech""|""Science""|""Innovation""|""Digital culture""|""Design""|""Technology""|""Tesla""|""Elon Musk""|""Tesla Motors""|""Semi truck""|""Electric truck""|""Cars""|""Truck""|""Transportation""|""Electric semi truck""|""Tesla truck""",816740,9052,649
FIA GT World Cup 2017. Qualification Race Macau Grand Prix. Huge Pile Up,Automotive/Vehicle,"GT Series|""Qualification Race""|""Macau Grand Prix""|""FIA GT World Cup""|""Pile Up""|""traffic jam""|""start""|""1st lap""|""big crash""|""carnage""|""racing""|""wtf""|""Circuito da Guia""|""Sports car racing""|""Guia Circuit""|""Macau Peninsula""|""Macau (China)""|""#MacauGP""|""red flag""|""Hiroki Yoshimoto""|""Chaz Mostert""|""Fabian Plentz""|""Robin Frijns""|""Darryl O'Young""|""Romain Dumas""|""Mirko Bortolotti""|""Marco Wittmann""|""Renger Van der Zande""|""Felix Rosenqvist""|""Lucas di Grassi""|""#GTWorldCup""|""Meanwhile at Macau""|""Macau street circuit""",3241257,16673,1033
Elon Musk Gives First Look At Tesla's Electric Semi,Automotive/Vehicle,"Tech Insider|""TI""|""Tech""|""Science""|""Innovation""|""Digital culture""|""Design""|""Technology""|""Tesla""|""Elon Musk""|""Tesla Motors""|""Semi truck""|""Electric truck""|""Cars""|""Truck""|""Transportation""|""Electric semi truck""|""Tesla truck""",836305,9164,664
